SAINT JUIRE CHAMPGILLON (= CHAMPGILLON),85
SAINT JUIRE LA PLAINE,85
SAINT JULIEN DES LANDES,85
SAINT LAURENT DE LA SALLE,85
SAINT LAURENT SUR SÈVRE,85
SAINT LAURS,79
SAINT LUMINE DE CLISSON,44
SAINT MAIXENT DE BEUGNÉ,79
SAINT MARSAULT,79
SAINT MARS DES PRÉS,85
SAINT MARS LA RÉORTHE,85
SAINT MARTIN DE BREM (= BREM SUR MER),85
SAINT MARTIN DE FRAIGNEAU,85
SAINT MARTIN DES NOYERS,85
SAINT MARTIN DES TILLEULS,85
SAINT MARTIN LARS EN SAINTE HERMINE,85
SAINT MARTIN SOUS MOUZEUIL,85
SAINT MAURICE DES NOUES,85
SAINT MAURICE LE GIRARD,85
SAINT MÉDARD DES PRÉS,85
SAINT MESMIN,85
SAINT MICHEL EN L'HERM,85
SAINT MICHEL LE CLOUCQ,85
SAINT NICOLAS DE BREM,85
SAINT OUEN DES GÂTS,85
SAINT PAUL EN GÂTINE,79
SAINT PAUL EN PAREDS,85
SAINT PAUL MONT PENIT,85
SAINT PHILBERT DE BOUAINE,85
SAINT PHILBERT DU PONT CHARRAULT,85
SAINT PIERRE DES ÉCHAUBROGNES,79
SAINT PIERRE DU CHEMIN,85
SAINT PIERRE LE VIEUX,85
SAINT POMPAIN,79
SAINT PORCHAIRE (79),79
SAINT PROUANT,85
SAINT RÉVÉREND,85
SAINT SIGISMOND,85
SAINT SORNIN,85
SAINT SULPICE EN PAREDS,85
SAINT SULPICE LE VERDON,85
SAINT URBAIN,85
SAINT VALÉRIEN,85
SAINT VINCENT FORT DU LAY,85
SAINT VINCENT PUYMAUFRAIS (ou PUYMAUFRAIS),85
SAINT VINCENT STERLANGES,85
SAINT VINCENT SUR GRAON,85
SAINT VINCENT SUR JARD,85
SALIGNY,85
SALLERTAINE,85
SÉRIGNÉ,85
SIGOURNAIS,85
SIMON (LA VINEUSE),85
SOULLANS,85
ST JOUIN DE MILLY,79
TABLIER (LE),85
TALMONT (SAINT HILAIRE),85
TARDIÈRE (LA),85
TEMPLE (LE),79
TERVES,79
THIRÉ,85
THORIGNY,85
THOUARSAIS (BOUILDROUX),85
TIFFAUGES (- NOTRE DAME),85
TIFFAUGES - SAINT NICOLAS,85
TILLAY,85
TRANCHE SUR MER (LA),85
TREIZE SEPTIERS,85
TREIZE VENTS,85
TRIAIZE,85
VAIRÉ,85
VELLUIRE,85
VENANSAULT,85
VENDRENNES,85
VERRIE (LA),85
VIEUX POUZAUGES (LE),85
VILLIERS EN PLAINE,79
VINEUSE (LA),85
VIX,85
VOUILLÉ LES MARAIS,85
VOUVANT,85
XANTON (CHASSENON),85
